,origin,destination,departure_at,airline,flight_number,price,expires_at
0,MOW,LED,2021-03-05T15:40:00Z,S7,1017,7461,2021-03-05T15:40:00Z
1,MOW,LED,2021-03-06T18:45:00Z,DP,205,3568,2021-03-06T14:11:10Z
2,MOW,LED,2021-03-07T04:20:00Z,U6,9631,2238,2021-03-07T04:20:00Z
3,MOW,LED,2021-03-08T03:45:00Z,DP,201,2452,2021-03-08T03:45:00Z
4,MOW,LED,2021-03-09T05:10:00Z,DP,207,2570,2021-03-08T11:24:26Z
5,MOW,LED,2021-03-10T03:35:00Z,DP,201,2462,2021-03-08T11:08:38Z
6,MOW,LED,2021-03-11T05:10:00Z,DP,207,2465,2021-03-08T06:33:35Z
7,MOW,LED,2021-03-12T15:00:00Z,UT,381,2590,2021-03-05T22:09:13Z
8,MOW,LED,2021-03-13T13:10:00Z,DP,211,2894,2021-03-08T10:34:32Z
9,MOW,LED,2021-03-14T04:20:00Z,U6,9631,2238,2021-03-08T12:05:12Z
10,MOW,LED,2021-03-15T07:30:00Z,UT,369,2590,2021-03-07T17:18:57Z
11,MOW,LED,2021-03-16T07:30:00Z,UT,369,2590,2021-03-08T12:03:14Z
12,MOW,LED,2021-03-17T07:30:00Z,UT,369,2590,2021-03-08T08:16:14Z
13,MOW,LED,2021-03-18T07:30:00Z,UT,369,2590,2021-03-07T19:08:41Z
14,MOW,LED,2021-03-19T15:00:00Z,UT,381,2590,2021-03-06T09:19:11Z
15,MOW,LED,2021-03-20T13:10:00Z,DP,211,2901,2021-03-06T20:03:21Z
16,MOW,LED,2021-03-21T04:20:00Z,U6,9631,2238,2021-03-08T11:17:55Z
17,MOW,LED,2021-03-22T06:00:00Z,DP,203,2569,2021-03-08T09:35:13Z
18,MOW,LED,2021-03-23T07:30:00Z,UT,369,2590,2021-03-05T19:05:49Z
19,MOW,LED,2021-03-24T07:30:00Z,UT,369,2590,2021-03-08T09:49:17Z
20,MOW,LED,2021-03-25T07:30:00Z,UT,369,2590,2021-03-06T16:04:00Z
21,MOW,LED,2021-03-26T15:00:00Z,UT,381,2590,2021-03-08T11:50:40Z
22,MOW,LED,2021-03-27T07:10:00Z,U6,79,3125,2021-03-08T11:46:22Z
23,MOW,LED,2021-03-28T07:35:00Z,UT,369,2590,2021-03-07T19:18:27Z
24,MOW,LED,2021-03-29T07:35:00Z,UT,369,2590,2021-03-07T20:08:21Z
25,MOW,LED,2021-03-30T07:35:00Z,UT,369,2590,2021-03-07T21:15:43Z
26,MOW,LED,2021-03-31T07:35:00Z,UT,369,2590,2021-03-07T18:27:01Z
27,MOW,LED,2021-04-01T07:35:00Z,UT,369,2590,2021-03-08T11:34:00Z
28,MOW,LED,2021-04-02T07:35:00Z,UT,369,2590,2021-03-08T10:59:39Z
29,MOW,LED,2021-04-03T07:35:00Z,UT,369,2590,2021-03-07T09:20:10Z
30,MOW,LED,2021-04-04T07:35:00Z,UT,369,2590,2021-03-07T14:11:35Z
31,MOW,LED,2021-04-05T07:35:00Z,UT,369,2590,2021-03-08T11:24:12Z
32,MOW,LED,2021-04-06T07:35:00Z,UT,369,2590,2021-03-07T17:58:01Z
33,MOW,LED,2021-04-07T07:35:00Z,UT,369,2590,2021-03-08T11:46:48Z
34,MOW,LED,2021-04-08T07:35:00Z,UT,369,2590,2021-03-08T06:54:00Z
35,MOW,LED,2021-04-09T07:35:00Z,UT,369,2590,2021-03-07T13:36:21Z
36,MOW,LED,2021-04-10T07:35:00Z,UT,369,2590,2021-03-07T18:43:05Z
37,MOW,LED,2021-04-11T07:35:00Z,UT,369,2590,2021-03-06T18:27:28Z
38,MOW,LED,2021-04-12T07:35:00Z,UT,369,2590,2021-03-08T08:21:31Z
39,MOW,LED,2021-04-13T07:35:00Z,UT,369,2590,2021-03-07T14:14:47Z
40,MOW,LED,2021-04-14T07:35:00Z,UT,369,2590,2021-03-05T20:29:48Z
41,MOW,LED,2021-04-15T07:35:00Z,UT,369,2590,2021-03-08T07:59:40Z
42,MOW,LED,2021-04-16T07:35:00Z,UT,369,2590,2021-03-08T10:51:36Z
43,MOW,LED,2021-04-17T07:35:00Z,UT,369,2590,2021-03-07T21:22:05Z
44,MOW,LED,2021-04-18T07:35:00Z,UT,369,2590,2021-03-08T06:39:27Z
45,MOW,LED,2021-04-19T07:35:00Z,UT,369,2590,2021-03-07T11:00:20Z
46,MOW,LED,2021-04-20T07:35:00Z,UT,369,2590,2021-03-06T06:45:40Z
47,MOW,LED,2021-04-21T07:35:00Z,UT,369,2590,2021-03-05T16:03:46Z
48,MOW,LED,2021-04-22T07:35:00Z,UT,369,2590,2021-03-06T09:13:02Z
49,MOW,LED,2021-04-23T07:35:00Z,UT,369,2590,2021-03-07T07:04:06Z
50,MOW,LED,2021-04-24T07:35:00Z,UT,369,2590,2021-03-06T17:49:08Z
51,MOW,LED,2021-04-25T07:35:00Z,UT,369,2590,2021-03-06T11:52:50Z
52,MOW,LED,2021-04-26T07:35:00Z,UT,369,2590,2021-03-08T03:13:57Z
53,MOW,LED,2021-04-27T07:35:00Z,UT,369,2590,2021-03-07T20:19:34Z
54,MOW,LED,2021-04-28T07:35:00Z,UT,369,2590,2021-03-07T14:39:04Z
55,MOW,LED,2021-04-29T07:35:00Z,UT,369,2590,2021-03-07T17:03:24Z
56,MOW,LED,2021-04-30T07:35:00Z,UT,369,3790,2021-03-08T11:07:49Z
57,MOW,LED,2021-05-01T02:35:00Z,UT,489,2990,2021-03-08T08:28:42Z
58,MOW,LED,2021-05-02T02:35:00Z,UT,489,2590,2021-03-07T13:40:04Z
59,MOW,LED,2021-05-03T02:35:00Z,UT,489,2590,2021-03-07T15:48:07Z
60,MOW,LED,2021-05-04T02:35:00Z,UT,489,2590,2021-03-08T11:25:28Z
61,MOW,LED,2021-05-05T02:35:00Z,UT,489,2590,2021-03-06T15:52:41Z
62,MOW,LED,2021-05-06T02:35:00Z,UT,489,2590,2021-03-08T08:09:05Z
63,MOW,LED,2021-05-07T02:35:00Z,UT,489,2590,2021-03-08T10:32:49Z
64,MOW,LED,2021-05-08T02:35:00Z,UT,489,2990,2021-03-07T15:00:18Z
65,MOW,LED,2021-05-09T02:35:00Z,UT,489,2590,2021-03-08T08:30:07Z
66,MOW,LED,2021-05-10T02:35:00Z,UT,489,2590,2021-03-08T09:30:08Z
67,MOW,LED,2021-05-11T02:35:00Z,UT,489,2590,2021-03-08T11:13:56Z
68,MOW,LED,2021-05-12T02:35:00Z,UT,489,2590,2021-03-07T19:28:49Z
69,MOW,LED,2021-05-13T02:35:00Z,UT,489,2590,2021-03-07T14:49:05Z
70,MOW,LED,2021-05-14T02:35:00Z,UT,489,2590,2021-03-07T10:07:44Z
71,MOW,LED,2021-05-15T07:35:00Z,UT,369,2990,2021-03-06T17:29:47Z
72,MOW,LED,2021-05-16T02:35:00Z,UT,489,2590,2021-03-08T04:49:28Z
73,MOW,LED,2021-05-17T02:35:00Z,UT,489,2590,2021-03-08T11:54:10Z
74,MOW,LED,2021-05-18T02:35:00Z,UT,489,2590,2021-03-07T07:29:41Z
75,MOW,LED,2021-05-19T02:35:00Z,UT,489,2590,2021-03-07T23:37:34Z
76,MOW,LED,2021-05-20T02:35:00Z,UT,489,2590,2021-03-08T10:39:01Z
77,MOW,LED,2021-05-21T02:35:00Z,UT,489,2590,2021-03-08T10:39:52Z
78,MOW,LED,2021-05-22T02:35:00Z,UT,489,2990,2021-03-06T17:53:37Z
79,MOW,LED,2021-05-23T07:35:00Z,UT,369,3390,2021-03-06T05:28:30Z
80,MOW,LED,2021-05-24T02:35:00Z,UT,489,2628,2021-03-06T20:35:02Z
81,MOW,LED,2021-05-25T02:35:00Z,UT,489,2648,2021-03-06T19:04:20Z
82,MOW,LED,2021-05-26T02:35:00Z,UT,489,2590,2021-03-08T08:44:41Z
83,MOW,LED,2021-05-27T02:35:00Z,UT,489,2590,2021-03-07T23:17:23Z
84,MOW,LED,2021-05-28T02:35:00Z,UT,489,2590,2021-03-07T15:59:54Z
85,MOW,LED,2021-05-29T02:35:00Z,UT,489,2990,2021-03-07T06:59:44Z
86,MOW,LED,2021-05-30T02:35:00Z,UT,489,3390,2021-03-07T20:31:37Z
87,MOW,LED,2021-05-31T02:35:00Z,UT,489,3390,2021-03-07T11:51:17Z
88,MOW,LED,2021-06-01T02:35:00Z,UT,489,3390,2021-03-08T11:38:54Z
89,MOW,LED,2021-06-02T07:35:00Z,UT,369,3790,2021-03-08T03:25:21Z
90,MOW,LED,2021-06-03T02:35:00Z,UT,489,4190,2021-03-07T08:12:22Z
91,MOW,LED,2021-06-04T02:35:00Z,UT,489,4190,2021-03-07T05:05:19Z
92,MOW,LED,2021-06-05T02:35:00Z,UT,489,4250,2021-03-06T22:01:03Z
93,MOW,LED,2021-06-06T02:35:00Z,UT,489,4190,2021-03-07T14:52:22Z
94,MOW,LED,2021-06-07T02:35:00Z,UT,489,4190,2021-03-07T15:27:16Z
95,MOW,LED,2021-06-09T02:35:00Z,UT,489,4190,2021-03-07T06:59:11Z
96,MOW,LED,2021-06-10T02:35:00Z,UT,489,4190,2021-03-07T13:30:12Z
97,MOW,LED,2021-06-11T02:35:00Z,UT,489,4190,2021-03-07T04:44:40Z
98,MOW,LED,2021-06-12T02:35:00Z,UT,489,4190,2021-03-07T19:44:59Z
99,MOW,LED,2021-06-13T02:35:00Z,UT,489,4190,2021-03-08T05:08:33Z
100,MOW,LED,2021-06-14T02:35:00Z,UT,489,4190,2021-03-07T21:11:32Z
101,MOW,LED,2021-06-15T02:35:00Z,UT,489,4190,2021-03-07T10:16:12Z
102,MOW,LED,2021-06-16T02:35:00Z,UT,489,4250,2021-03-06T18:10:42Z
103,MOW,LED,2021-06-17T02:35:00Z,UT,489,4190,2021-03-07T16:47:21Z
104,MOW,LED,2021-06-18T02:35:00Z,UT,489,4190,2021-03-07T20:28:19Z
105,MOW,LED,2021-06-19T02:35:00Z,UT,489,4190,2021-03-07T16:22:02Z
106,MOW,LED,2021-06-20T02:35:00Z,UT,489,4190,2021-03-08T02:59:11Z
107,MOW,LED,2021-06-21T02:35:00Z,UT,489,4190,2021-03-07T09:48:41Z
108,MOW,LED,2021-06-22T02:35:00Z,UT,489,4190,2021-03-08T11:10:37Z
109,MOW,LED,2021-06-23T02:35:00Z,UT,489,4190,2021-03-07T15:21:06Z
110,MOW,LED,2021-06-24T02:35:00Z,UT,489,4190,2021-03-08T08:56:23Z
111,MOW,LED,2021-06-25T02:35:00Z,UT,489,4190,2021-03-07T16:32:55Z
112,MOW,LED,2021-06-26T02:35:00Z,UT,489,4250,2021-03-06T15:57:18Z
113,MOW,LED,2021-06-27T07:35:00Z,FV,6018,4940,2021-03-05T18:29:25Z
114,MOW,LED,2021-06-28T02:35:00Z,UT,489,4190,2021-03-08T09:09:03Z
115,MOW,LED,2021-06-29T02:35:00Z,UT,489,4190,2021-03-07T11:31:03Z
116,MOW,LED,2021-06-30T02:35:00Z,UT,489,4190,2021-03-07T09:28:46Z
117,MOW,LED,2021-07-01T02:35:00Z,UT,489,4190,2021-03-07T19:58:55Z
118,MOW,LED,2021-07-02T02:35:00Z,UT,489,4190,2021-03-07T13:49:07Z
119,MOW,LED,2021-07-03T02:35:00Z,UT,489,4190,2021-03-08T00:56:37Z
120,MOW,LED,2021-07-04T02:35:00Z,UT,489,4190,2021-03-07T09:18:27Z
121,MOW,LED,2021-07-05T02:35:00Z,UT,489,4190,2021-03-08T07:06:41Z
122,MOW,LED,2021-07-06T22:40:00Z,UT,453,11231,2021-03-07T17:37:11Z
123,MOW,LED,2021-07-07T02:35:00Z,UT,489,4190,2021-03-07T09:06:10Z
124,MOW,LED,2021-07-08T02:35:00Z,UT,489,4190,2021-03-08T07:09:01Z
125,MOW,LED,2021-07-09T02:35:00Z,UT,489,4190,2021-03-07T10:34:00Z
126,MOW,LED,2021-07-10T02:35:00Z,UT,489,4190,2021-03-07T00:09:28Z
127,MOW,LED,2021-07-11T02:35:00Z,UT,489,4190,2021-03-07T11:44:12Z
128,MOW,LED,2021-07-12T02:35:00Z,UT,489,4190,2021-03-07T06:51:26Z
129,MOW,LED,2021-07-13T03:45:00Z,FV,6022,4910,2021-03-05T19:48:45Z
130,MOW,LED,2021-07-14T02:35:00Z,UT,489,4190,2021-03-07T20:58:44Z
131,MOW,LED,2021-07-15T02:35:00Z,UT,489,4190,2021-03-07T12:05:51Z
132,MOW,LED,2021-07-16T02:35:00Z,UT,489,4420,2021-03-06T17:45:12Z
