origin,destination,departure_at,airline,flight_number,price,expires_at,requested_at
MOW,LED,2021-03-06T18:45:00Z,DP,205,3568,2021-03-06T13:24:28Z,21-03-06T10:28:54Z
MOW,LED,2021-03-07T04:20:00Z,U6,9631,2438,2021-03-07T04:20:00Z,21-03-06T10:28:54Z
MOW,LED,2021-03-08T03:45:00Z,DP,201,2411,2021-03-08T03:45:00Z,21-03-06T10:28:54Z
MOW,LED,2021-03-09T05:10:00Z,DP,207,2618,2021-03-09T05:10:00Z,21-03-06T10:28:54Z
MOW,LED,2021-03-10T04:30:00Z,DP,209,2468,2021-03-09T06:15:06Z,21-03-06T10:28:54Z
MOW,LED,2021-03-11T05:10:00Z,DP,207,2449,2021-03-08T21:55:05Z,21-03-06T10:28:54Z
MOW,LED,2021-03-12T04:30:00Z,DP,209,2940,2021-03-09T03:35:23Z,21-03-06T10:28:54Z
MOW,LED,2021-03-13T13:10:00Z,DP,211,2894,2021-03-08T10:35:19Z,21-03-06T10:28:54Z
MOW,LED,2021-03-14T04:20:00Z,U6,9631,2238,2021-03-09T07:07:11Z,21-03-06T10:28:54Z
MOW,LED,2021-03-15T07:30:00Z,UT,369,2590,2021-03-09T05:14:57Z,21-03-06T10:28:54Z
MOW,LED,2021-03-16T06:00:00Z,DP,203,2564,2021-03-08T23:35:22Z,21-03-06T10:28:54Z
MOW,LED,2021-03-17T07:30:00Z,UT,369,2590,2021-03-08T19:48:56Z,21-03-06T10:28:54Z
MOW,LED,2021-03-18T07:30:00Z,UT,369,2590,2021-03-08T08:17:31Z,21-03-06T10:28:54Z
MOW,LED,2021-03-19T04:30:00Z,DP,209,2912,2021-03-09T00:10:45Z,21-03-06T10:28:54Z
MOW,LED,2021-03-20T13:10:00Z,DP,211,2887,2021-03-07T10:08:41Z,21-03-06T10:28:54Z
MOW,LED,2021-03-21T04:20:00Z,U6,9631,2238,2021-03-08T17:51:51Z,21-03-06T10:28:54Z
MOW,LED,2021-03-22T07:30:00Z,UT,369,2590,2021-03-08T21:50:58Z,21-03-06T10:28:54Z
MOW,LED,2021-03-23T07:30:00Z,UT,369,2590,2021-03-08T19:13:32Z,21-03-06T10:28:54Z
MOW,LED,2021-03-24T07:30:00Z,UT,369,2590,2021-03-09T03:34:20Z,21-03-06T10:28:54Z
MOW,LED,2021-03-25T07:30:00Z,UT,369,2590,2021-03-08T23:12:09Z,21-03-06T10:28:54Z
MOW,LED,2021-03-26T15:00:00Z,UT,381,2590,2021-03-08T23:21:12Z,21-03-06T10:28:54Z
MOW,LED,2021-03-27T07:10:00Z,U6,79,3125,2021-03-07T21:23:10Z,21-03-06T10:28:54Z
MOW,LED,2021-03-28T07:35:00Z,UT,369,2590,2021-03-08T22:05:39Z,21-03-06T10:28:54Z
MOW,LED,2021-03-29T07:35:00Z,UT,369,2590,2021-03-08T19:13:55Z,21-03-06T10:28:54Z
MOW,LED,2021-03-30T07:35:00Z,UT,369,2590,2021-03-07T13:58:26Z,21-03-06T10:28:54Z
MOW,LED,2021-03-31T07:35:00Z,UT,369,2590,2021-03-08T19:35:02Z,21-03-06T10:28:54Z
MOW,LED,2021-04-01T07:35:00Z,UT,369,2590,2021-03-09T07:07:13Z,21-03-06T10:28:54Z
